,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality_numpy,pagerank,information_centrality,global_reaching_centrality
3SALATAi,3104.666666667033,0.0012643543044980035,1.1260062557429176e-05,0.38707821082919175,1.3417507066247001e-05,0.011583670117927526,0.00013513446871869263,0.0007766148669416132,0.2110179478678302
3SALATAim,2782.6761904761615,0.00013447714961434994,1.0229462122591282e-06,0.3477463928185364,1.5210521841006295e-06,0.011575790450061615,0.00013513434198749043,0.0007412291332166875,0.2110179478678302
3SPYRSP,3795.133333333571,0.014486160660939683,0.0001771510349653249,0.4545677950482276,0.00019093587698332766,0.011674875754512485,0.00013513528983359236,0.0008073813183562475,0.2110179478678302
3SPYRSPm,2959.0333333334675,0.00040203175111278494,2.600448861276841e-05,0.35985603813044115,3.497649381604775e-05,0.011603722689557927,0.00013513506382241002,0.000796750401273792,0.2110179478678302
41R1H2MAE12BOOX,3767.300000000279,0.01462880476584326,5.490461737547124e-05,0.44804408380767835,4.6693531021676726e-05,0.011678940452991128,0.00013513504431135804,0.0008075801946995905,0.2110179478678302
41R2A1H12BOOX,3780.550000000278,0.014785867367565,0.00014285850550268593,0.44891396675160783,0.00015402945896073598,0.01168173519426464,0.00013513527517180324,0.0008077079322416672,0.2110179478678302
42A12BOOX,3779.800000000278,0.014768667057939751,0.0001251389972150165,0.4488322717622081,0.000130877052927428,0.011681618033914709,0.0001351352493332287,0.0008077027871771394,0.2110179478678302
4ABUTtm,2893.100000000135,0.00012673746091900896,1.4232937319097748e-06,0.3646803686726798,7.940962249684444e-06,0.011569870578768071,0.00013513395336960823,0.0005393576349335185,0.2110179478678302
4HBZCOAFm,3274.433333333745,0.0018827728101110243,0.00011956763142445514,0.3815294178311762,9.881739728480859e-05,0.011650557539136483,0.00013513573699879875,0.0008057453587436347,0.2110179478678302
4HBZFm,3269.266666667074,0.0018794145608591745,0.00011638670063494109,0.3811559859880486,9.520013382381555e-05,0.011649746117657645,0.00013513568511986057,0.0008056772515712133,0.2110179478678302
4HDEBRISOQUINEte,2639.949999999884,2.054853379030236e-05,0.0002703067982159752,0.3369154410090615,0.0002703067982159748,0.011568701925565273,0.00013513513591491088,0.00011586578648893014,0.2110179478678302
4HGLSDm,3204.0666666670095,0.0018661601626737518,1.626858060651166e-05,0.3754503475922261,2.50496597416075e-05,0.011640816224176273,0.00013513534287535147,0.0008048293921746998,0.2110179478678302
4HOXPACDOX_NADP,4300.849999999942,0.02853091951364033,0.000412996763325868,0.5040877503747104,0.00038278696647469685,0.011765497218176142,0.00013513594319898833,0.0008098393655099067,0.2110179478678302
4MOPt2im,4302.683333333322,0.025068424524019632,0.00180707590080675,0.49731146659497244,0.0015816372056573578,0.011775908616757483,0.00013513629088893542,0.0008099855539539048,0.2110179478678302
4MPTNLte,1659.057142857349,1.0468227732345076e-09,0.00027030679821597536,0.21555717407137653,0.00027030679821597514,0.011568815583499826,0.00013513626126126127,7.372341664754826e-05,0.2110179478678302
4MPTNLtm,2171.121428571358,1.3720690188843371e-06,0.0008107011677231766,0.2747493501670999,0.000810701167723176,0.011568816324283792,0.0001351349120313406,0.00011581833789852388,0.2110179478678302
4MPTNLtr,1658.5571428573487,1.046821943140393e-09,0.0,0.21555089436578687,0.0,0.011568699898814566,0.00013513468468468468,7.371979339751899e-05,0.2110179478678302
4MTOLBUTAMIDEte,2639.949999999884,2.054853379030236e-05,0.0002703067982159752,0.3369154410090615,0.0002703067982159748,0.011568701925565273,0.00013513513591491088,0.00011586578648893092,0.2110179478678302
4NPHSFte,2529.7095238093225,1.751295602810723e-05,0.00027030679821597546,0.3232839603268231,0.000270306798215975,0.01156870142350459,0.00013513513617224285,0.00011584684594291285,0.2110179478678302
4NPHSULT,4046.300000000206,0.024446657333128854,0.0007361870652665843,0.47763217352010845,0.0007425464580807965,0.011721549648767548,0.00013513612194567193,0.0008090048427873454,0.2110179478678302
4NPHte,2675.583333333246,3.8177039267286204e-05,0.00010441445124842363,0.3415501084798966,0.0001289089807310791,0.011568934970372506,0.00013513447217433769,0.0002979765586592569,0.2110179478678302
4PYRDX,4356.849999999858,0.0289558572710701,0.0004249654679097235,0.5092924008810573,0.0003819249505989076,0.011776421988981118,0.00013513714197883314,0.0008099922197467596,0.2110179478678302
5ADTSTSTERONEGLCte,4357.516666666523,0.02895587212675592,0.0006846573294565728,0.5093625223736747,0.0006491687926511459,0.011776537674844222,0.00013513781765493846,0.0008099935226582879,0.2110179478678302
5ADTSTSTERONEGLCtr,2656.5333333332233,2.0749087143644288e-05,6.60627549418011e-06,0.3387045090409705,1.215774752328388e-05,0.011568702023150614,0.00013513381525806837,0.00020099797980065376,0.2110179478678302
5ADTSTSTERONESte,2628.6833333332074,3.794424174649629e-05,0.0002703067982159752,0.33538824169348624,0.0002703067982159752,0.011568819086182446,0.00013513513697343646,0.0002028017714420375,0.2110179478678302
5ADTSTSTERONESULT,4046.7166666668727,0.024446749221152954,0.0004240424479247513,0.47763217352010845,0.00042462652019491606,0.011721665346302878,0.00013513593425877956,0.0008090082498867307,0.2110179478678302
5ADTSTSTERONEte,2636.4499999998798,7.302360515401899e-05,0.0002703067982159751,0.33624176323562827,0.0002703067982159752,0.01156916921747569,0.00013513528919383756,0.000364381207466471,0.2110179478678302
5ADTSTSTERONEtr,2714.283333333253,7.310590823079557e-05,2.928816722789067e-05,0.3446685610471887,3.569660453250781e-05,0.01156951749496078,0.00013513405567927176,0.0004818715730223756,0.2110179478678302
5AOPtm,2735.2166666666117,2.309753745218497e-05,2.7100284539515645e-09,0.346882325363338,7.690654190494048e-08,0.011568818909628773,0.00013513378921725923,0.0002702861828619428,0.2110179478678302
5DHFtl,2694.6499999998982,3.977031054716326e-05,1.5808169218133964e-07,0.3424670215227956,3.70595882589962e-07,0.01156893571436817,0.0001351337971802582,0.0003241104097461425,0.2110179478678302
5FTHFt2,3795.2166666669336,0.014244927953285505,0.0023004308269035994,0.4506364577623485,0.002156197135396803,0.011682850479347143,0.00013513697310429777,0.0008077537672829073,0.2110179478678302
5HLTDL,4061.4666666668727,0.024553865918282458,0.0001450106954766775,0.47896167788710514,0.00013250885100860558,0.011724571102634116,0.00013513523676385552,0.0008090784162231951,0.2110179478678302
5HOMEPRAZOLEte,2639.949999999884,2.054853379030236e-05,0.0002703067982159752,0.3369154410090615,0.0002703067982159748,0.011568701925565273,0.00013513513591491088,0.00011586578648892974,0.2110179478678302
5HOXINDACTO2OX,4334.599999999888,0.028655318365205157,0.0002424559825704888,0.5077545978589075,0.00018927232549879153,0.011771296959617162,0.00013513580079312377,0.0008099230748655418,0.2110179478678302
5HOXINDACTOXm,3203.066666667009,0.0018660366798758253,1.0885091354241934e-05,0.375412248211477,1.8032971371660875e-05,0.011640584760659255,0.00013513524290204406,0.0008048050705379773,0.2110179478678302
5HOXINOXDA,3780.2166666669445,0.014786051184415314,0.00016746656368386663,0.4488322717622081,0.00017832025640473508,0.011681735331176217,0.00013513528379879305,0.0008077079118149844,0.2110179478678302
5HTRPDOX,3009.4833333335614,0.003554779307499199,5.614270037480716e-08,0.37098876855194546,2.1628401692623843e-07,0.011596938220101683,0.0001351342188410507,0.000793084000527121,0.2110179478678302
5HTRPVESSEC,4357.849999999856,0.028961415980556487,0.0004309506284823372,0.5093625223736747,0.0003890943177628,0.01177665404328644,0.00013513715146915557,0.0008099953083480134,0.2110179478678302
5HXKYNDCL,4055.800000000206,0.024515863433445795,2.4769498058415632e-05,0.47858990944372576,2.1411813463740435e-05,0.011723292790886205,0.00013513508632712818,0.0008090476640358012,0.2110179478678302
5HXKYNOXDA,3160.650000000399,0.00428708807629646,9.125008994729245e-06,0.38841933959787917,1.4672117492570221e-05,0.011604068539843722,0.00013513444725496497,0.0007969491210490081,0.2110179478678302
5MTHFt,2678.1166666665745,4.60836036597645e-05,3.950043634287357e-07,0.3413137743334256,9.765316064974842e-06,0.011569398428344285,0.00013513450435906585,0.00044284725916265337,0.2110179478678302
5MTHFt2,3798.3833333336,0.014262044927400122,0.0025858500543967937,0.4508286619546673,0.0024488691222375645,0.011683546100165828,0.00013513650898157775,0.0008077835692723255,0.2110179478678302
5THFtl,2694.533333333232,3.96581477626464e-05,3.739402313747321e-06,0.3424036281179138,4.686673895840405e-06,0.011569051387339461,0.00013513406790965007,0.00036027012821393924,0.2110179478678302
5THFtm,2763.9333333333125,4.249479452416369e-05,8.766785040542065e-07,0.34993378736284525,5.2850356955517325e-06,0.01156905239699185,0.00013513405982751964,0.0003605880822004435,0.2110179478678302
6DHFtl,2634.459523809384,3.784953249590933e-05,5.074988060078486e-06,0.3350086027347641,6.239478326787621e-06,0.011569051097845003,0.00013513406757852776,0.00036028292738292714,0.2110179478678302
6DHFtm,2691.026190476072,4.050416203422894e-05,5.792823816895475e-07,0.3409049023221526,4.520785834421724e-06,0.011569052005220378,0.00013513406017939876,0.0003605760046919344,0.2110179478678302
6HTSTSTERONEte,1591.6535714288173,3.407146704948582e-11,0.0002703067982159748,0.20839905362776026,0.00027030679821597514,0.011568699895341018,0.0001351358108108108,6.232796757023356e-05,0.2110179478678302
6HTSTSTERONEtr,2052.5595238096057,3.6893833675573305e-08,0.0005405405207903665,0.263234666287178,0.0005405405207903672,0.011568700339865009,0.0001351344629786036,0.00011563150833402482,0.2110179478678302
6THFtl,2632.9928571427163,3.770632829572339e-05,5.215057181453292e-06,0.3348115299334812,6.530844576413098e-06,0.011569051077977547,0.00013513406803847982,0.00036026361317881116,0.2110179478678302
6THFtm,2691.192857142739,4.0504103562853575e-05,5.956159776240436e-07,0.3409206100539096,4.684433317147775e-06,0.01156905200753398,0.00013513406017529603,0.0003605754188584876,0.2110179478678302
7DHCHSTEROLtr,2719.7999999999297,2.0629947968570756e-05,2.2568784847911943e-05,0.34574766355140185,2.4909231200760907e-05,0.011568934137608419,0.0001351340624088428,0.0003088452402636931,0.2110179478678302
